user_reputation,taker_mpxr_delta,range_weight,intermediate_quality,post_quality
339,-6.790542464153813,30,-8.827705203399956,-2.0371627392461438
12,-5.558584396697713,5,-5.836513616532598,-0.2779292198348857
45,6.842155283973327,7,7.32110615385146,0.4789508698781333
56,3.8341787962496916,9,4.1792548879121645,0.3450760916624729
89,-8.52145177144296,10,-9.373596948587258,-0.8521451771442976
168,6.615057563096659,15,7.607316197561158,0.9922586344644984
216,-3.5670346406813973,20,-4.280441568817676,-0.7134069281362789
286,4.468513773744057,20,5.362216528492868,0.8937027547488112
306,2.66017355422745,30,3.458225620495685,0.7980520662682351
150,-2.6254558960496794,15,-3.019274280457131,-0.39381838440745165
226,-4.422508990216918,20,-5.3070107882603015,-0.8845017980433836
387,6.096163921439981,30,7.925013097871975,1.8288491764319943
330,-7.590600169686564,30,-9.867780220592532,-2.2771800509059688
166,0.5249159288232104,15,0.6036533181466919,0.07873738932348151
330,3.599768368744714,30,4.679698879368129,1.0799305106234147
56,8.137322372583306,9,8.869681386115804,0.7323590135324984
389,0.047534675225266554,30,0.06179507779284652,0.014260402567579968
218,-5.251957860673945,20,-6.302349432808734,-1.0503915721347887
191,4.089436632323633,15,4.702852127172177,0.6134154948485442
73,1.005011780535856,9,1.0954628407840832,0.09045106024822713
312,5.397346914075225,30,7.016550988297793,1.6192040742225675
60,-0.3109981295187225,9,-0.3389879611754076,-0.02798983165668506
278,0.22362341562567956,20,0.26834809875081544,0.04472468312513589
194,-1.0634940828109265,15,-1.2230181952325654,-0.1595241124216389
58,0.3924648604790839,9,0.4277866979222015,0.035321837443117565
393,6.236151224748298,30,8.106996592172788,1.87084536742449
56,9.213485765723657,9,10.042699484638787,0.8292137189151294
31,7.392765309951148,7,7.910258881647729,0.5174935716965807
312,9.2470138585483,30,12.02111801611279,2.7741041575644907
396,-0.525785844450894,30,-0.6835215977861623,-0.15773575333526824
91,-2.5792214778205125,10,-2.837143625602564,-0.2579221477820517
376,8.975489869284697,30,11.668136830070107,2.69264696078541
127,3.6328317833470827,15,4.1777565508491445,0.5449247675020619
202,9.401995549522681,20,11.282394659427217,1.8803991099045358
214,1.808260743544901,20,2.169912892253881,0.3616521487089801
227,8.110475011351884,20,9.73257001362226,1.6220950022703757
236,6.066454161513853,20,7.279744993816624,1.2132908323027705
74,-5.1404901004228005,9,-5.603134209460853,-0.4626441090380524
96,-9.000741824920047,10,-9.900816007412052,-0.9000741824920055
65,-7.665638469928737,9,-8.355545932222324,-0.6899074622935863
294,2.163108441107939,20,2.5957301293295267,0.43262168822158786
171,-3.9577997315094944,15,-4.551469691235918,-0.5936699597264239
107,4.341111749726576,10,4.775222924699234,0.4341111749726583
48,-3.9357487383803536,7,-4.211251150066978,-0.2755024116866247
143,-2.127247432283303,15,-2.4463345471257982,-0.3190871148424952
172,-1.9915752945647824,15,-2.2903115887495,-0.29873629418471737
260,5.528972298766178,20,6.6347667585194126,1.105794459753235
31,-1.3849337923756782,7,-1.4818791578419757,-0.0969453654662975
37,-3.3649875349414238,7,-3.6005366623873236,-0.23554912744589984
344,-8.422261839218132,30,-10.948940390983573,-2.526678551765441
210,-2.98209873500422,20,-3.5785184820050637,-0.5964197470008439
